B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 3
B06, Trade, 62.682, 216, B06, S03, 1
B06, Trade, 120.455, 181, S00, B06, 1
B06, Trade, 180.591, 208, B06, S04, 1
B07, 8
B07, Trade, 60.682, 217, B07, S00, 1
B07, Trade, 121.364, 217, B07, S03, 1
B07, Trade, 181.682, 212, B07, S00, 1
B07, Trade, 302.545, 228, B07, S02, 1
B07, Trade, 360.591, 227, B07, S02, 1
B07, Trade, 427.227, 204, S05, B07, 1
B07, Trade, 480.727, 169, S03, B07, 1
B07, Trade, 540.591, 159, S00, B07, 1
B08, 9
B08, Trade, 60.545, 245, B08, S01, 1
B08, Trade, 122.545, 199, S01, B08, 1
B08, Trade, 181.000, 213, B08, S05, 1
B08, Trade, 241.500, 227, B08, S01, 1
B08, Trade, 300.773, 230, B08, S01, 1
B08, Trade, 363.045, 223, S00, B08, 1
B08, Trade, 422.136, 204, S02, B08, 1
B08, Trade, 481.091, 161, S01, B08, 1
B08, Trade, 543.364, 146, S02, B08, 1
B09, 5
B09, Trade, 61.045, 278, B09, S02, 1
B09, Trade, 120.818, 206, S02, B09, 1
B09, Trade, 181.727, 224, S06, B09, 1
B09, Trade, 481.591, 160, S02, B09, 1
B09, Trade, 541.227, 149, S01, B09, 1
B10, 4
B10, Trade, 60.409, 277, B10, S04, 1
B10, Trade, 120.773, 190, S04, B10, 1
B10, Trade, 181.318, 212, B10, S03, 1
B10, Trade, 240.364, 205, S02, B10, 1
S00, 5
S00, Trade, 60.682, 217, B07, S00, 1
S00, Trade, 120.455, 181, S00, B06, 1
S00, Trade, 181.682, 212, B07, S00, 1
S00, Trade, 363.045, 223, S00, B08, 1
S00, Trade, 540.591, 159, S00, B07, 1
S01, 6
S01, Trade, 60.545, 245, B08, S01, 1
S01, Trade, 122.545, 199, S01, B08, 1
S01, Trade, 241.500, 227, B08, S01, 1
S01, Trade, 300.773, 230, B08, S01, 1
S01, Trade, 481.091, 161, S01, B08, 1
S01, Trade, 541.227, 149, S01, B09, 1
S02, 8
S02, Trade, 61.045, 278, B09, S02, 1
S02, Trade, 120.818, 206, S02, B09, 1
S02, Trade, 240.364, 205, S02, B10, 1
S02, Trade, 302.545, 228, B07, S02, 1
S02, Trade, 360.591, 227, B07, S02, 1
S02, Trade, 422.136, 204, S02, B08, 1
S02, Trade, 481.591, 160, S02, B09, 1
S02, Trade, 543.364, 146, S02, B08, 1
S03, 4
S03, Trade, 62.682, 216, B06, S03, 1
S03, Trade, 121.364, 217, B07, S03, 1
S03, Trade, 181.318, 212, B10, S03, 1
S03, Trade, 480.727, 169, S03, B07, 1
S04, 3
S04, Trade, 60.409, 277, B10, S04, 1
S04, Trade, 120.773, 190, S04, B10, 1
S04, Trade, 180.591, 208, B06, S04, 1
S05, 2
S05, Trade, 181.000, 213, B08, S05, 1
S05, Trade, 427.227, 204, S05, B07, 1
S06, 1
S06, Trade, 181.727, 224, S06, B09, 1
S07, 0
S08, 0
S09, 0
S10, 0
