B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 301.925, 211, S18, B08, 1
B09, 1
B09, Trade, 301.412, 202, S13, B09, 1
B10, 0
B11, 4
B11, Trade, 5.200, 143, B11, S08, 1
B11, Trade, 216.550, 146, B11, S03, 1
B11, Trade, 398.962, 327, B11, S10, 1
B11, Trade, 443.250, 327, B11, S03, 1
B12, 6
B12, Trade, 13.975, 153, B12, S02, 1
B12, Trade, 205.837, 153, B12, S06, 1
B12, Trade, 293.837, 140, B12, S06, 1
B12, Trade, 314.212, 330, B12, S10, 1
B12, Trade, 404.912, 330, B12, S00, 1
B12, Trade, 442.450, 330, B12, S00, 1
B13, 16
B13, Trade, 13.125, 160, B13, S00, 1
B13, Trade, 181.887, 160, B13, S06, 1
B13, Trade, 205.787, 160, B13, S05, 1
B13, Trade, 270.937, 160, B13, S00, 1
B13, Trade, 280.300, 160, B13, S01, 1
B13, Trade, 292.612, 160, B13, S10, 1
B13, Trade, 314.012, 333, B13, S01, 1
B13, Trade, 332.037, 333, B13, S03, 1
B13, Trade, 339.137, 333, B13, S06, 1
B13, Trade, 392.037, 332, B13, S10, 1
B13, Trade, 402.900, 333, B13, S02, 1
B13, Trade, 442.187, 333, B13, S10, 1
B13, Trade, 469.962, 333, B13, S10, 1
B13, Trade, 481.100, 333, B13, S10, 1
B13, Trade, 505.937, 333, B13, S00, 1
B13, Trade, 562.350, 333, B13, S02, 1
B14, 2
B14, Trade, 108.388, 165, B14, S01, 1
B14, Trade, 309.112, 305, S02, B14, 1
B15, 5
B15, Trade, 13.100, 160, B15, S05, 1
B15, Trade, 15.300, 150, B15, S10, 1
B15, Trade, 293.662, 140, B15, S00, 1
B15, Trade, 303.025, 246, S27, B15, 1
B15, Trade, 481.012, 337, B15, S13, 1
B16, 3
B16, Trade, 155.900, 163, B16, S10, 1
B16, Trade, 403.137, 334, S08, B16, 1
B16, Trade, 450.112, 338, B16, S02, 1
B17, 38
B17, Trade, 3.613, 171, B17, S06, 1
B17, Trade, 31.500, 182, B17, S10, 1
B17, Trade, 43.400, 182, B17, S01, 1
B17, Trade, 82.775, 182, B17, S06, 1
B17, Trade, 92.188, 183, B17, S15, 1
B17, Trade, 113.988, 179, B17, S00, 1
B17, Trade, 126.963, 183, B17, S05, 1
B17, Trade, 151.737, 183, B17, S00, 1
B17, Trade, 155.362, 182, B17, S05, 1
B17, Trade, 181.012, 183, B17, S00, 1
B17, Trade, 205.337, 183, B17, S10, 1
B17, Trade, 216.500, 181, B17, S01, 1
B17, Trade, 229.587, 178, B17, S00, 1
B17, Trade, 240.525, 178, B17, S06, 1
B17, Trade, 270.425, 183, B17, S03, 1
B17, Trade, 279.337, 179, B17, S06, 1
B17, Trade, 292.575, 179, B17, S15, 1
B17, Trade, 310.562, 333, S13, B17, 1
B17, Trade, 331.937, 342, B17, S00, 1
B17, Trade, 341.637, 342, B17, S14, 1
B17, Trade, 370.000, 342, B17, S01, 1
B17, Trade, 381.062, 341, B17, S00, 1
B17, Trade, 390.650, 339, B17, S06, 1
B17, Trade, 398.825, 342, B17, S02, 1
B17, Trade, 415.200, 342, B17, S06, 1
B17, Trade, 441.925, 341, B17, S01, 1
B17, Trade, 469.300, 338, S15, B17, 1
B17, Trade, 479.637, 340, B17, S05, 1
B17, Trade, 487.912, 342, B17, S10, 1
B17, Trade, 505.075, 342, B17, S01, 1
B17, Trade, 510.237, 334, B17, S03, 1
B17, Trade, 527.475, 342, B17, S02, 1
B17, Trade, 539.562, 340, B17, S03, 1
B17, Trade, 543.850, 342, B17, S10, 1
B17, Trade, 562.212, 338, B17, S03, 1
B17, Trade, 570.175, 341, B17, S15, 1
B17, Trade, 578.437, 342, B17, S05, 1
B17, Trade, 598.887, 342, B17, S06, 1
B18, 45
B18, Trade, 3.650, 169, B18, S02, 1
B18, Trade, 43.200, 183, B18, S15, 1
B18, Trade, 73.763, 190, B18, S15, 1
B18, Trade, 78.488, 187, B18, S06, 1
B18, Trade, 84.413, 177, B18, S00, 1
B18, Trade, 100.275, 171, B18, S06, 1
B18, Trade, 104.638, 167, B18, S02, 1
B18, Trade, 126.788, 190, B18, S16, 1
B18, Trade, 132.738, 190, B18, S10, 1
B18, Trade, 141.925, 190, B18, S15, 1
B18, Trade, 143.525, 184, B18, S16, 1
B18, Trade, 159.175, 176, B18, S06, 1
B18, Trade, 178.975, 190, B18, S10, 1
B18, Trade, 189.987, 190, B18, S02, 1
B18, Trade, 203.262, 190, B18, S15, 1
B18, Trade, 205.112, 184, B18, S16, 1
B18, Trade, 228.887, 190, B18, S02, 1
B18, Trade, 240.500, 190, B18, S15, 1
B18, Trade, 269.650, 190, B18, S01, 1
