B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 61.136, 159, B04, S00, 1
B05, 1
B05, Trade, 300.773, 194, B05, S01, 1
B06, 4
B06, Trade, 60.636, 201, S04, B06, 1
B06, Trade, 182.000, 184, S00, B06, 1
B06, Trade, 421.500, 213, S00, B06, 1
B06, Trade, 480.864, 211, S02, B06, 1
B07, 2
B07, Trade, 421.273, 214, S02, B07, 1
B07, Trade, 481.455, 210, S05, B07, 1
B08, 1
B08, Trade, 60.045, 130, S01, B08, 1
B09, 7
B09, Trade, 60.409, 198, B09, S02, 1
B09, Trade, 120.364, 195, B09, S00, 1
B09, Trade, 186.227, 186, S01, B09, 1
B09, Trade, 240.364, 180, S01, B09, 1
B09, Trade, 421.182, 214, S05, B09, 1
B09, Trade, 480.773, 211, S03, B09, 1
B09, Trade, 540.682, 209, S02, B09, 1
B10, 5
B10, Trade, 61.636, 226, S05, B10, 1
B10, Trade, 120.682, 197, S02, B10, 1
B10, Trade, 182.091, 184, S02, B10, 1
B10, Trade, 361.455, 209, B10, S01, 1
B10, Trade, 421.045, 209, B10, S01, 1
S00, 4
S00, Trade, 61.136, 159, B04, S00, 1
S00, Trade, 120.364, 195, B09, S00, 1
S00, Trade, 182.000, 184, S00, B06, 1
S00, Trade, 421.500, 213, S00, B06, 1
S01, 6
S01, Trade, 60.045, 130, S01, B08, 1
S01, Trade, 186.227, 186, S01, B09, 1
S01, Trade, 240.364, 180, S01, B09, 1
S01, Trade, 300.773, 194, B05, S01, 1
S01, Trade, 361.455, 209, B10, S01, 1
S01, Trade, 421.045, 209, B10, S01, 1
S02, 6
S02, Trade, 60.409, 198, B09, S02, 1
S02, Trade, 120.682, 197, S02, B10, 1
S02, Trade, 182.091, 184, S02, B10, 1
S02, Trade, 421.273, 214, S02, B07, 1
S02, Trade, 480.864, 211, S02, B06, 1
S02, Trade, 540.682, 209, S02, B09, 1
S03, 1
S03, Trade, 480.773, 211, S03, B09, 1
S04, 1
S04, Trade, 60.636, 201, S04, B06, 1
S05, 3
S05, Trade, 61.636, 226, S05, B10, 1
S05, Trade, 421.182, 214, S05, B09, 1
S05, Trade, 481.455, 210, S05, B07, 1
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
