B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B05, Trade, 62.727, 197, B05, S02, 1
B05, Trade, 361.636, 195, B05, S00, 1
B05, Trade, 421.455, 199, B05, S03, 1
B06, 7
B06, Trade, 60.500, 212, B06, S01, 1
B06, Trade, 120.136, 200, B06, S04, 1
B06, Trade, 242.364, 216, S02, B06, 1
B06, Trade, 301.455, 205, S01, B06, 1
B06, Trade, 361.045, 193, S03, B06, 1
B06, Trade, 420.545, 203, B06, S04, 1
B06, Trade, 542.955, 200, B06, S03, 1
B07, 4
B07, Trade, 121.136, 192, S02, B07, 1
B07, Trade, 180.364, 192, S02, B07, 1
B07, Trade, 301.000, 205, B07, S03, 1
B07, Trade, 360.455, 204, S01, B07, 1
B08, 5
B08, Trade, 60.636, 217, S04, B08, 1
B08, Trade, 301.182, 211, S04, B08, 1
B08, Trade, 362.136, 205, B08, S02, 1
B08, Trade, 420.864, 202, B08, S02, 1
B08, Trade, 483.500, 200, B08, S03, 1
B09, 5
B09, Trade, 61.136, 191, S03, B09, 1
B09, Trade, 120.273, 202, B09, S01, 1
B09, Trade, 180.864, 219, S03, B09, 1
B09, Trade, 240.364, 227, B09, S00, 1
B09, Trade, 300.545, 215, S02, B09, 1
B10, 6
B10, Trade, 60.273, 303, B10, S00, 1
B10, Trade, 120.364, 211, S05, B10, 1
B10, Trade, 181.273, 220, S00, B10, 1
B10, Trade, 240.273, 216, S01, B10, 1
B10, Trade, 302.227, 210, B10, S05, 1
B10, Trade, 364.409, 203, B10, S04, 1
S00, 4
S00, Trade, 60.273, 303, B10, S00, 1
S00, Trade, 181.273, 220, S00, B10, 1
S00, Trade, 240.364, 227, B09, S00, 1
S00, Trade, 361.636, 195, B05, S00, 1
S01, 5
S01, Trade, 60.500, 212, B06, S01, 1
S01, Trade, 120.273, 202, B09, S01, 1
S01, Trade, 240.273, 216, S01, B10, 1
S01, Trade, 301.455, 205, S01, B06, 1
S01, Trade, 360.455, 204, S01, B07, 1
S02, 7
S02, Trade, 62.727, 197, B05, S02, 1
S02, Trade, 121.136, 192, S02, B07, 1
S02, Trade, 180.364, 192, S02, B07, 1
S02, Trade, 242.364, 216, S02, B06, 1
S02, Trade, 300.545, 215, S02, B09, 1
S02, Trade, 362.136, 205, B08, S02, 1
S02, Trade, 420.864, 202, B08, S02, 1
S03, 7
S03, Trade, 61.136, 191, S03, B09, 1
S03, Trade, 180.864, 219, S03, B09, 1
S03, Trade, 301.000, 205, B07, S03, 1
S03, Trade, 361.045, 193, S03, B06, 1
S03, Trade, 421.455, 199, B05, S03, 1
S03, Trade, 483.500, 200, B08, S03, 1
S03, Trade, 542.955, 200, B06, S03, 1
S04, 5
S04, Trade, 60.636, 217, S04, B08, 1
S04, Trade, 120.136, 200, B06, S04, 1
S04, Trade, 301.182, 211, S04, B08, 1
S04, Trade, 364.409, 203, B10, S04, 1
S04, Trade, 420.545, 203, B06, S04, 1
S05, 2
S05, Trade, 120.364, 211, S05, B10, 1
S05, Trade, 302.227, 210, B10, S05, 1
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
