B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 60.045, 117, S01, B04, 1
B05, 2
B05, Trade, 241.091, 194, B05, S04, 1
B05, Trade, 482.500, 195, B05, S04, 1
B06, 4
B06, Trade, 60.909, 175, B06, S00, 1
B06, Trade, 241.318, 210, S00, B06, 1
B06, Trade, 303.227, 206, B06, S05, 1
B06, Trade, 481.682, 199, B06, S02, 1
B07, 5
B07, Trade, 62.227, 214, S05, B07, 1
B07, Trade, 121.136, 193, B07, S00, 1
B07, Trade, 181.955, 217, B07, S02, 1
B07, Trade, 242.227, 203, S01, B07, 1
B07, Trade, 301.091, 207, B07, S04, 1
B08, 8
B08, Trade, 63.136, 170, S02, B08, 1
B08, Trade, 120.227, 186, S03, B08, 1
B08, Trade, 182.818, 217, B08, S00, 1
B08, Trade, 244.364, 207, S05, B08, 1
B08, Trade, 300.409, 200, S02, B08, 1
B08, Trade, 361.000, 206, S04, B08, 1
B08, Trade, 481.545, 183, S00, B08, 1
B08, Trade, 541.364, 196, B08, S01, 1
B09, 7
B09, Trade, 60.818, 237, B09, S04, 1
B09, Trade, 120.500, 174, S02, B09, 1
B09, Trade, 244.727, 204, S03, B09, 1
B09, Trade, 300.818, 208, B09, S00, 1
B09, Trade, 362.682, 206, S03, B09, 1
B09, Trade, 481.273, 205, B09, S01, 1
B09, Trade, 541.591, 197, S00, B09, 1
B10, 5
B10, Trade, 60.364, 237, B10, S03, 1
B10, Trade, 240.500, 216, B10, S02, 1
B10, Trade, 301.545, 206, B10, S03, 1
B10, Trade, 486.000, 197, S03, B10, 1
B10, Trade, 540.591, 197, B10, S04, 1
S00, 7
S00, Trade, 60.909, 175, B06, S00, 1
S00, Trade, 121.136, 193, B07, S00, 1
S00, Trade, 182.818, 217, B08, S00, 1
S00, Trade, 241.318, 210, S00, B06, 1
S00, Trade, 300.818, 208, B09, S00, 1
S00, Trade, 481.545, 183, S00, B08, 1
S00, Trade, 541.591, 197, S00, B09, 1
S01, 4
S01, Trade, 60.045, 117, S01, B04, 1
S01, Trade, 242.227, 203, S01, B07, 1
S01, Trade, 481.273, 205, B09, S01, 1
S01, Trade, 541.364, 196, B08, S01, 1
S02, 6
S02, Trade, 63.136, 170, S02, B08, 1
S02, Trade, 120.500, 174, S02, B09, 1
S02, Trade, 181.955, 217, B07, S02, 1
S02, Trade, 240.500, 216, B10, S02, 1
S02, Trade, 300.409, 200, S02, B08, 1
S02, Trade, 481.682, 199, B06, S02, 1
S03, 6
S03, Trade, 60.364, 237, B10, S03, 1
S03, Trade, 120.227, 186, S03, B08, 1
S03, Trade, 244.727, 204, S03, B09, 1
S03, Trade, 301.545, 206, B10, S03, 1
S03, Trade, 362.682, 206, S03, B09, 1
S03, Trade, 486.000, 197, S03, B10, 1
S04, 6
S04, Trade, 60.818, 237, B09, S04, 1
S04, Trade, 241.091, 194, B05, S04, 1
S04, Trade, 301.091, 207, B07, S04, 1
S04, Trade, 361.000, 206, S04, B08, 1
S04, Trade, 482.500, 195, B05, S04, 1
S04, Trade, 540.591, 197, B10, S04, 1
S05, 3
S05, Trade, 62.227, 214, S05, B07, 1
S05, Trade, 244.364, 207, S05, B08, 1
S05, Trade, 303.227, 206, B06, S05, 1
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
