B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 60.136, 116, S01, B03, 1
B04, 0
B05, 4
B05, Trade, 64.909, 179, B05, S02, 1
B05, Trade, 181.318, 192, B05, S00, 1
B05, Trade, 240.318, 199, B05, S02, 1
B05, Trade, 301.318, 177, B05, S01, 1
B06, 4
B06, Trade, 122.727, 191, S02, B06, 1
B06, Trade, 242.318, 177, S04, B06, 1
B06, Trade, 301.727, 178, B06, S00, 1
B06, Trade, 363.818, 190, B06, S00, 1
B07, 4
B07, Trade, 241.591, 175, S01, B07, 1
B07, Trade, 360.727, 178, S04, B07, 1
B07, Trade, 481.136, 190, B07, S00, 1
B07, Trade, 543.136, 189, B07, S00, 1
B08, 6
B08, Trade, 65.182, 186, S03, B08, 1
B08, Trade, 124.864, 194, S04, B08, 1
B08, Trade, 181.455, 193, S02, B08, 1
B08, Trade, 240.682, 200, B08, S03, 1
B08, Trade, 300.500, 177, S04, B08, 1
B08, Trade, 421.818, 191, B08, S03, 1
B09, 6
B09, Trade, 61.000, 201, S04, B09, 1
B09, Trade, 121.273, 214, B09, S00, 1
B09, Trade, 180.682, 192, S03, B09, 1
B09, Trade, 241.045, 174, S00, B09, 1
B09, Trade, 301.000, 177, S03, B09, 1
B09, Trade, 420.727, 191, B09, S04, 1
B10, 3
B10, Trade, 60.318, 106, S00, B10, 1
B10, Trade, 120.318, 187, S03, B10, 1
B10, Trade, 423.682, 191, B10, S00, 1
S00, 9
S00, Trade, 60.318, 106, S00, B10, 1
S00, Trade, 121.273, 214, B09, S00, 1
S00, Trade, 181.318, 192, B05, S00, 1
S00, Trade, 241.045, 174, S00, B09, 1
S00, Trade, 301.727, 178, B06, S00, 1
S00, Trade, 363.818, 190, B06, S00, 1
S00, Trade, 423.682, 191, B10, S00, 1
S00, Trade, 481.136, 190, B07, S00, 1
S00, Trade, 543.136, 189, B07, S00, 1
S01, 3
S01, Trade, 60.136, 116, S01, B03, 1
S01, Trade, 241.591, 175, S01, B07, 1
S01, Trade, 301.318, 177, B05, S01, 1
S02, 4
S02, Trade, 64.909, 179, B05, S02, 1
S02, Trade, 122.727, 191, S02, B06, 1
S02, Trade, 181.455, 193, S02, B08, 1
S02, Trade, 240.318, 199, B05, S02, 1
S03, 6
S03, Trade, 65.182, 186, S03, B08, 1
S03, Trade, 120.318, 187, S03, B10, 1
S03, Trade, 180.682, 192, S03, B09, 1
S03, Trade, 240.682, 200, B08, S03, 1
S03, Trade, 301.000, 177, S03, B09, 1
S03, Trade, 421.818, 191, B08, S03, 1
S04, 6
S04, Trade, 61.000, 201, S04, B09, 1
S04, Trade, 124.864, 194, S04, B08, 1
S04, Trade, 242.318, 177, S04, B06, 1
S04, Trade, 300.500, 177, S04, B08, 1
S04, Trade, 360.727, 178, S04, B07, 1
S04, Trade, 420.727, 191, B09, S04, 1
S05, 0
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
