B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 3
B06, Trade, 60.136, 95, S00, B06, 1
B06, Trade, 122.455, 210, S02, B06, 1
B06, Trade, 360.682, 209, S03, B06, 1
B07, 5
B07, Trade, 60.500, 170, S02, B07, 1
B07, Trade, 120.273, 224, S04, B07, 1
B07, Trade, 183.045, 209, S03, B07, 1
B07, Trade, 240.773, 199, S03, B07, 1
B07, Trade, 420.636, 246, B07, S03, 1
B08, 5
B08, Trade, 60.455, 137, S01, B08, 1
B08, Trade, 122.955, 215, S00, B08, 1
B08, Trade, 180.318, 218, B08, S02, 1
B08, Trade, 482.727, 246, S05, B08, 1
B08, Trade, 545.091, 220, S04, B08, 1
B09, 6
B09, Trade, 60.864, 243, B09, S03, 1
B09, Trade, 120.409, 215, S01, B09, 1
B09, Trade, 181.864, 208, B09, S01, 1
B09, Trade, 301.318, 230, B09, S03, 1
B09, Trade, 482.136, 254, S02, B09, 1
B09, Trade, 540.727, 250, B09, S03, 1
B10, 4
B10, Trade, 61.864, 239, B10, S04, 1
B10, Trade, 120.773, 193, S03, B10, 1
B10, Trade, 480.864, 259, B10, S03, 1
B10, Trade, 541.000, 249, S00, B10, 1
S00, 3
S00, Trade, 60.136, 95, S00, B06, 1
S00, Trade, 122.955, 215, S00, B08, 1
S00, Trade, 541.000, 249, S00, B10, 1
S01, 3
S01, Trade, 60.455, 137, S01, B08, 1
S01, Trade, 120.409, 215, S01, B09, 1
S01, Trade, 181.864, 208, B09, S01, 1
S02, 4
S02, Trade, 60.500, 170, S02, B07, 1
S02, Trade, 122.455, 210, S02, B06, 1
S02, Trade, 180.318, 218, B08, S02, 1
S02, Trade, 482.136, 254, S02, B09, 1
S03, 9
S03, Trade, 60.864, 243, B09, S03, 1
S03, Trade, 120.773, 193, S03, B10, 1
S03, Trade, 183.045, 209, S03, B07, 1
S03, Trade, 240.773, 199, S03, B07, 1
S03, Trade, 301.318, 230, B09, S03, 1
S03, Trade, 360.682, 209, S03, B06, 1
S03, Trade, 420.636, 246, B07, S03, 1
S03, Trade, 480.864, 259, B10, S03, 1
S03, Trade, 540.727, 250, B09, S03, 1
S04, 3
S04, Trade, 61.864, 239, B10, S04, 1
S04, Trade, 120.273, 224, S04, B07, 1
S04, Trade, 545.091, 220, S04, B08, 1
S05, 1
S05, Trade, 482.727, 246, S05, B08, 1
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
